,Time,Date,AQI
289,00:15:00,2023-02-04,147.13888888888889
290,00:30:00,2023-02-04,146.76388888888889
291,00:45:00,2023-02-04,146.38888888888889
292,01:00:00,2023-02-04,146.79166666666666
293,01:15:00,2023-02-04,147.19444444444446
294,01:30:00,2023-02-04,147.59722222222223
295,01:45:00,2023-02-04,148.0
296,02:00:00,2023-02-04,148.42361111111111
297,02:15:00,2023-02-04,148.84722222222223
298,02:30:00,2023-02-04,149.27083333333334
299,02:45:00,2023-02-04,149.69444444444446
300,03:00:00,2023-02-04,150.11805555555554
301,03:15:00,2023-02-04,150.54166666666666
302,03:30:00,2023-02-04,150.96527777777777
303,03:45:00,2023-02-04,151.38888888888889
304,04:00:00,2023-02-04,151.40277777777777
305,04:15:00,2023-02-04,151.41666666666666
306,04:30:00,2023-02-04,151.43055555555554
307,04:45:00,2023-02-04,151.44444444444446
308,05:00:00,2023-02-04,151.29861111111111
309,05:15:00,2023-02-04,151.15277777777777
310,05:30:00,2023-02-04,151.00694444444446
311,05:45:00,2023-02-04,150.86111111111111
312,06:00:00,2023-02-04,150.15972222222223
313,06:15:00,2023-02-04,149.45833333333334
314,06:30:00,2023-02-04,148.75694444444446
315,06:45:00,2023-02-04,148.05555555555554
316,07:00:00,2023-02-04,147.89583333333334
317,07:15:00,2023-02-04,147.73611111111111
318,07:30:00,2023-02-04,147.57638888888889
319,07:45:00,2023-02-04,147.41666666666666
320,08:00:00,2023-02-04,148.88888888888889
321,08:15:00,2023-02-04,150.36111111111111
322,08:30:00,2023-02-04,151.83333333333334
323,08:45:00,2023-02-04,153.30555555555554
324,09:00:00,2023-02-04,155.5625
325,09:15:00,2023-02-04,157.81944444444446
326,09:30:00,2023-02-04,160.07638888888889
327,09:45:00,2023-02-04,162.33333333333334
328,10:00:00,2023-02-04,162.53472222222223
329,10:15:00,2023-02-04,162.73611111111111
330,10:30:00,2023-02-04,162.9375
331,10:45:00,2023-02-04,163.13888888888889
332,11:00:00,2023-02-04,163.34027777777777
